,YYYYMM,Consumed,Generated,Month,Year,Date,Consume_ratio
0,197301,1691.096,6246.251,1,1973,1973-01-01,0.27073775933756106
1,197302,1511.458,5928.069,2,1973,1973-02-01,0.254966330520107
2,197303,1559.159,6649.007,3,1973,1973-03-01,0.23449501557149816
3,197304,1470.152,5876.392,4,1973,1973-04-01,0.2501793617580311
4,197305,1551.631,5696.657,5,1973,1973-05-01,0.2723757108774497
5,197306,1709.752,6784.152,6,1973,1973-06-01,0.25202147593391183
6,197307,1846.331,6960.486,7,1973,1973-07-01,0.2652589201386225
7,197308,1889.873,7785.326,8,1973,1973-08-01,0.24274808787711652
8,197309,1664.842,7862.383,9,1973,1973-09-01,0.21174776146112445
9,197310,1638.807,7518.195,10,1973,1973-10-01,0.21797878347129865
10,197311,1567.941,8142.033,11,1973,1973-11-01,0.19257364837504343
11,197312,1629.591,8030.511,12,1973,1973-12-01,0.2029249446268114
12,197401,1663.689,7602.79,1,1974,1974-01-01,0.21882611514983316
13,197402,1506.973,8115.522,2,1974,1974-02-01,0.18569021191736032
14,197403,1589.502,8777.497,3,1974,1974-03-01,0.1810882988624206
15,197404,1512.953,7128.892,4,1974,1974-04-01,0.21222835189535766
16,197405,1630.562,6562.335,5,1974,1974-05-01,0.24847283779325496
17,197406,1666.66,7079.595,6,1974,1974-06-01,0.2354174214767935
18,197407,1908.007,10209.908,7,1974,1974-07-01,0.18687798166251843
19,197408,1865.99,12333.452,8,1974,1974-08-01,0.15129503078294707
20,197409,1626.253,11009.752,9,1974,1974-09-01,0.14771022998519856
21,197410,1625.206,10863.505,10,1974,1974-10-01,0.1496023613005195
22,197411,1600.048,11004.327,11,1974,1974-11-01,0.1454017133442145
23,197412,1709.402,13288.168,12,1974,1974-12-01,0.12864090821247895
24,197501,1741.385,13938.354,1,1975,1975-01-01,0.12493476632893669
25,197502,1553.135,12733.338,2,1975,1975-02-01,0.12197390817710171
26,197503,1638.241,14881.784,3,1975,1975-03-01,0.11008364319761663
27,197504,1540.673,13327.245,4,1975,1975-04-01,0.11560326233966585
28,197505,1619.351,13763.765,5,1975,1975-05-01,0.11765320026896711
29,197506,1723.312,12743.82,6,1975,1975-06-01,0.1352272709438771
30,197507,1880.241,15372.216,7,1975,1975-07-01,0.12231424538921389
31,197508,1914.625,15879.687,8,1975,1975-08-01,0.12057070142503439
32,197509,1638.784,14396.011,9,1975,1975-09-01,0.11383597859156958
33,197510,1633.788,14626.168,10,1975,1975-10-01,0.1117030790293124
34,197511,1605.659,14164.018,11,1975,1975-11-01,0.11336182995531353
35,197512,1781.043,16678.669,12,1975,1975-12-01,0.10678567936086505
36,197601,1882.783,16098.884,1,1976,1976-01-01,0.11695115015425914
37,197602,1650.798,14377.127,2,1976,1976-02-01,0.11482113220534255
38,197603,1721.705,13992.977,3,1976,1976-03-01,0.12304065103515856
39,197604,1594.553,10981.808,4,1976,1976-04-01,0.14519949720483186
40,197605,1647.787,11929.39,5,1976,1976-05-01,0.13812835358723288
41,197606,1826.842,15757.435,6,1976,1976-06-01,0.11593523945997557
42,197607,1976.18,17708.727,7,1976,1976-07-01,0.11159356626820212
43,197608,1974.717,18362.58,8,1976,1976-08-01,0.10754028028741058
44,197609,1743.297,17290.311,9,1976,1976-09-01,0.1008250805899327
45,197610,1732.819,17355.218,10,1976,1976-10-01,0.09984426585710418
46,197611,1779.932,16134.204,11,1976,1976-11-01,0.11032040998118035
47,197612,1941.35,21114.871,12,1976,1976-12-01,0.09194230928524261
48,197701,2077.373,22152.064,1,1977,1977-01-01,0.09377785293505835
49,197702,1711.388,19600.518,2,1977,1977-02-01,0.08731340671710819
50,197703,1782.45,20672.203,3,1977,1977-03-01,0.0862244822189488
51,197704,1656.988,19866.564,4,1977,1977-04-01,0.0834058672652201
52,197705,1795.764,20599.284,5,1977,1977-05-01,0.0871760397108948
53,197706,1918.889,21517.301,6,1977,1977-06-01,0.08917888911811012
54,197707,2131.452,21824.835,7,1977,1977-07-01,0.097661769264235
55,197708,2092.245,22749.668,8,1977,1977-08-01,0.09196815531549735
56,197709,1875.895,19629.992,9,1977,1977-09-01,0.09556269814068188
57,197710,1761.98,19041.045,10,1977,1977-10-01,0.09253588760490825
58,197711,1774.34,19458.412,11,1977,1977-11-01,0.09118626946536028
59,197712,1971.866,23771.398,12,1977,1977-12-01,0.08295120043002939
60,197801,2130.852,25832.949,1,1978,1978-01-01,0.08248582072453284
61,197802,1879.423,21832.5,2,1978,1978-02-01,0.08608372838657964
62,197803,1875.744,22448.665,3,1978,1978-03-01,0.08355704002888367
63,197804,1700.153,17579.902,4,1978,1978-04-01,0.09671003854287699
64,197805,1857.237,20416.17,5,1978,1978-05-01,0.09096892316237572
65,197806,2001.427,22185.187,6,1978,1978-06-01,0.09021456524121252
66,197807,2169.036,25007.094,7,1978,1978-07-01,0.08673682755781219
67,197808,2202.903,25599.306,8,1978,1978-08-01,0.08605323128681691
68,197809,1976.464,22188.917,9,1978,1978-09-01,0.08907437888924456
69,197810,1858.491,22996.549,10,1978,1978-10-01,0.08081608244784902
70,197811,1862.337,24900.669,11,1978,1978-11-01,0.0747906411671108
71,197812,2039.047,25415.16,12,1978,1978-12-01,0.08022955590285483
72,197901,2237.651,27792.163,1,1979,1979-01-01,0.08051374051022944
73,197902,1994.768,25910.788,2,1979,1979-02-01,0.07698600289578225
74,197903,1945.198,24334.822,3,1979,1979-03-01,0.07993475358069191
75,197904,1798.06,18417.942,4,1979,1979-04-01,0.09762545674212678
76,197905,1881.371,15024.851,5,1979,1979-05-01,0.12521728168885002
77,197906,1975.284,16065.455,6,1979,1979-06-01,0.12295225998890166
78,197907,2162.284,20824.729,7,1979,1979-07-01,0.10383251565962756
79,197908,2200.984,24204.083,8,1979,1979-08-01,0.09093440970269355
80,197909,1935.87,21803.87,9,1979,1979-09-01,0.08878561466381886
81,197910,1916.175,20934.359,10,1979,1979-10-01,0.0915325374901615
82,197911,1888.785,19255.175,11,1979,1979-11-01,0.0980923310226991
83,197912,2006.768,20586.386,12,1979,1979-12-01,0.09748034453448993
84,198001,2114.576,19745.966,1,1980,1980-01-01,0.10708901251020082
85,198002,1988.801,19277.338,2,1980,1980-02-01,0.10316782327518458
86,198003,1985.185,20038.872,3,1980,1980-03-01,0.09906670395419463
87,198004,1785.161,18793.503,4,1980,1980-04-01,0.09498819884722928
88,198005,1857.988,18384.807,5,1980,1980-05-01,0.10106105546824615
89,198006,2011.359,18322.206,6,1980,1980-06-01,0.10977711963286517
90,198007,2318.95,21023.937,7,1980,1980-07-01,0.11030046370477611
91,198008,2306.155,24332.931,8,1980,1980-08-01,0.09477506018489923
92,198009,2038.964,23572.294,9,1980,1980-09-01,0.08649832723111292
93,198010,1902.933,24509.631,10,1980,1980-10-01,0.07764021416723899
94,198011,1888.61,20983.909,11,1980,1980-11-01,0.09000277307721835
95,198012,2070.626,22130.182,12,1980,1980-12-01,0.09356570135753968
96,198101,2176.681,23778.769,1,1981,1981-01-01,0.09153884290645996
97,198102,1900.157,21595.261,2,1981,1981-02-01,0.08798953622278517
98,198103,1957.393,22004.399,3,1981,1981-03-01,0.08895462220985903
99,198104,1836.351,20646.019,4,1981,1981-04-01,0.08894455633311198
100,198105,1913.153,19723.09,5,1981,1981-05-01,0.09700067281546654
101,198106,2172.29,21165.626,6,1981,1981-06-01,0.1026329199996258
102,198107,2351.351,23079.647,7,1981,1981-07-01,0.10187985110864131
103,198108,2256.77,26946.387,8,1981,1981-08-01,0.08375037440084268
104,198109,1990.389,24398.455,9,1981,1981-09-01,0.08157848519506665
105,198110,1918.907,20555.822,10,1981,1981-10-01,0.09335102240134206
106,198111,1865.731,22783.424,11,1981,1981-11-01,0.08188984236961047
107,198112,2085.025,25996.603,12,1981,1981-12-01,0.08020374815894216
108,198201,2248.365,25677.834,1,1982,1982-01-01,0.08756053956887484
109,198202,1937.589,20187.619,2,1982,1982-02-01,0.09597907509548304
110,198203,1986.063,22755.478,3,1982,1982-03-01,0.08727845664239618
111,198204,1837.108,21784.661,4,1982,1982-04-01,0.08433034601731924
112,198205,1881.286,21638.768,5,1982,1982-05-01,0.0869405319193773
113,198206,1985.813,24026.011,6,1982,1982-06-01,0.08265263010160115
114,198207,2255.603,25467.06,7,1982,1982-07-01,0.08856943047214716
115,198208,2200.859,24986.071,8,1982,1982-08-01,0.08808343656751795
116,198209,1941.688,25390.532,9,1982,1982-09-01,0.0764729151795638
117,198210,1848.866,23247.7,10,1982,1982-10-01,0.07952898566309785
118,198211,1862.653,23235.022,11,1982,1982-11-01,0.08016575151080124
119,198212,1993.393,24376.491,12,1982,1982-12-01,0.08177522351350733
120,198301,2073.327,25073.059,1,1983,1983-01-01,0.08269142588465174
121,198302,1831.926,22197.767,2,1983,1983-02-01,0.08252749026512442
122,198303,1934.444,23890.193,3,1983,1983-03-01,0.08097230524675962
123,198304,1811.133,22334.793,4,1983,1983-04-01,0.08109020755195716
124,198305,1865.162,22050.937,5,1983,1983-05-01,0.08458425145380442
125,198306,2036.037,24151.858,6,1983,1983-06-01,0.08430146450844486
126,198307,2344.494,25602.084,7,1983,1983-07-01,0.09157434215120926
127,198308,2441.243,26201.317,8,1983,1983-08-01,0.09317253022052288
128,198309,2093.214,25007.372,9,1983,1983-09-01,0.0837038774006321
